City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,puerto aysen,-45.4,-72.7,51.11600000000001,100,100,2.41,CL,2024-11-12
258,aral,40.5156,81.2636,47.42600000000009,56,99,1.89,CN,2024-11-12
259,benghazi,32.1167,20.0667,73.41800000000009,43,6,4.57,LY,2024-11-12
260,plouzane,48.3833,-4.6167,51.98000000000004,76,75,6.69,FR,2024-11-12
261,ciudad bolivar,8.1222,-63.5497,92.984,47,71,3.9,VE,2024-11-12
262,canutama,-6.5339,-64.3831,101.93000000000004,30,83,1.33,BR,2024-11-12
263,santa elena de uairen,4.6167,-61.1333,79.68200000000002,62,84,2.04,VE,2024-11-12
264,ugoofaaru,5.6667,73.0,83.13800000000005,71,11,3.79,MV,2024-11-12
265,happy valley-goose bay,53.3168,-60.3315,32.306000000000026,86,100,4.63,CA,2024-11-12
266,eyl,7.9803,49.8164,79.50200000000008,81,15,7.75,SO,2024-11-12
267,alofi,-19.0595,-169.9187,73.292,88,100,3.6,NU,2024-11-12
268,broken hill,-31.95,141.4333,62.29400000000008,74,28,9.93,AU,2024-11-12
269,haiku-pauwela,20.9219,-156.3051,74.24600000000005,81,20,6.71,US,2024-11-12
270,karungdong,5.8844,121.263,79.84400000000008,82,48,0.81,PH,2024-11-12
271,inirida,3.8653,-67.9239,99.19400000000007,38,21,0.3,CO,2024-11-12
272,al hoceima,35.2433,-3.9309,65.42600000000009,77,40,4.63,MA,2024-11-12
273,zimovniki,47.1483,42.4633,35.852000000000075,68,29,3.4,RU,2024-11-12
274,afif,23.9065,42.9172,71.61800000000008,23,0,0.83,SA,2024-11-12
275,hawaiian paradise park,19.5933,-154.9731,71.88800000000005,96,75,3.6,US,2024-11-12
276,katsuren-haebaru,26.3369,127.8719,77.01800000000009,88,100,2.57,JP,2024-11-12
277,lugovoye,42.9094,72.7178,40.06400000000004,83,100,1.57,KZ,2024-11-12
278,callao,-12.0667,-77.15,68.28800000000004,73,75,4.12,PE,2024-11-12
279,prado,-17.3411,-39.2208,81.44600000000005,75,0,6.78,BR,2024-11-12
280,beauharnois,45.3168,-73.8659,45.01400000000003,50,20,7.72,CA,2024-11-12
281,tabou,4.423,-7.3528,80.38399999999999,75,54,2.48,CI,2024-11-12
282,daru,-9.0763,143.2092,78.71000000000008,90,100,4.92,PG,2024-11-12
283,ain leuh,33.2921,-5.3384,55.22000000000006,50,98,1.45,MA,2024-11-12
284,leshan,29.5623,103.7639,62.85200000000008,89,100,1.49,CN,2024-11-12
285,labytnangi,66.6572,66.4183,-9.705999999999976,91,16,2.13,RU,2024-11-12
286,colonia,50.9333,6.95,49.11800000000009,86,100,4.12,DE,2024-11-12
287,carutapera,-1.195,-46.02,85.22600000000008,62,85,4.74,BR,2024-11-12
288,alice springs,-23.7,133.8833,72.95,73,40,3.6,AU,2024-11-12
289,afaahiti,-17.75,-149.2833,74.48000000000005,77,100,7.89,PF,2024-11-12
